gene_name,meltPoint
A2LD1,52.5248061090372
A2M,60.861898800831696
AAAS,49.37324170140295
AACS,44.148352465745
AADACL1,58.11265958337305
AADAT,54.47262894372565
AAK1,50.4243536405989
AAMP,48.9386799909748
AARS,52.8200542216564
AARS2,48.2060573533552
AARSD1,48.885312909247
AASDH,48.92634974784005
AASDHPPT,51.5230683012877
AASS,51.3195808261071
ABAT,59.3850136214667
ABCA7,60.9937480058939
ABCB10,56.0483392363949
ABCB6,52.8297736107146
ABCB7,52.366391568396
ABCB8,52.009792362984854
ABCC1,53.572980023272
ABCC4,53.784637258695994
ABCD1,48.554677803576354
ABCD3,54.260407649475454
ABCD4,55.5281345617743
ABCE1,60.7842603526042
ABCF1,51.0856412612316
ABCF2,53.6917025762501
ABCF3,43.4042210493702
ABCG1,50.7364772331691
ABHD10,63.18885814962715
ABHD11,48.4797486995009
ABHD12,52.727388080566755
ABHD13,54.93559319720105
ABHD14B,50.5254619066206
ABHD5,52.350254589169296
ABHD6,47.767358115913595
ABI1,50.4200624449081
ABI2,51.719658302908
ABI3,51.4896324615691
ABL1,46.1982007642441
ABL2,45.6540219993858
ABLIM1,49.4675197521923
ABLIM2,53.8035281256235
ABR,44.3852905963818
ABT1,43.8096460605892
ACAA1,58.555796824626
ACAA2,63.1934956737329
ACACA,46.1052943271727
ACAD10,49.2249732353548
ACAD8,55.4298189977038
ACAD9,51.6489077628663
ACADM,56.6549156360009
ACADS,55.7627794665467
ACADSB,53.2655098666239
ACADVL,55.7029300613743
ACAP1,47.8055141684653
ACAP2,48.9694078112158
ACAP3,45.827521791592304
ACAT1,57.3616888895155
ACAT2,59.0752143434398
ACBD3,49.8474962752608
ACBD5,44.34512541795035
ACBD6,46.4870955852676
ACBD7,54.2199894270222
ACCN2,53.01665423596065
ACCS,53.4453111559871
ACD,44.6679089429155
ACIN1,56.51833803991915
ACLY,52.7151688743579
ACN9,50.6910421508682
ACO1,53.3035826693606
ACO2,50.7047632846853
ACOT11,51.5273921563743
ACOT7,60.1244200056189
ACOT8,59.4539773431359
ACOT9,53.011980602498
ACOX1,61.9126331603633
ACOX3,55.0916202647506
ACP1,47.2231098117188
ACP2,57.689833620808
